variant,category,command,format_ok,cmd_valid,aligned,latency_ms
C_few_shot_2,Configuration_Error,fuser -k /usr/bin/nginx/tcp 12345,1,0,0,660.3
A_current,Configuration_Error,docker container prune -f,1,0,0,717.0
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,904.9
C_few_shot_2,Configuration_Error,docker container prune --force,1,0,0,560.1
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1076.4
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1308.5
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,899.3
A_current,Configuration_Error,systemctl restart nginx,1,1,1,699.6
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,896.2
C_few_shot_2,Configuration_Error,rm -rf /var/lib/nginx/html,1,1,0,807.7
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1056.5
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1224.9
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,868.6
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1156.9
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1473.5
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,985.8
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1158.3
B_system_first,Configuration_Error,ulimit -n 65536,1,1,0,1485.3
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,871.8
A_current,Configuration_Error,ulimit -n 65536,1,1,0,823.3
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,863.9
C_few_shot_2,Configuration_Error,fuser -k /usr/bin/nginx/tcp,1,0,0,773.0
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1027.3
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1414.1
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,1047.9
A_current,Configuration_Error,ERROR: empty,0,0,0,1354.6
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1598.4
C_few_shot_2,Configuration_Error,fuser -k /usr/bin/python /usr/bin/python3,1,0,0,845.2
A_current,Configuration_Error,systemctl restart nginx,1,1,1,818.0
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1018.4
C_few_shot_2,Configuration_Error,fuser -k 9300/tcp/tcp,1,0,0,753.1
A_current,Configuration_Error,systemctl restart nginx,1,1,1,892.6
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1038.2
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,925.9
A_current,Configuration_Error,service nginx restart,1,1,0,800.7
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1003.5
C_few_shot_2,Configuration_Error,service nginx restart,1,1,0,790.3
A_current,Configuration_Error,systemctl restart nginx,1,1,1,748.1
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,930.3
C_few_shot_2,Configuration_Error,service apache2 restart,1,1,0,586.0
A_current,Configuration_Error,systemctl restart nginx,1,1,1,719.5
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,928.3
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,890.4
A_current,Configuration_Error,docker-compose up -d,1,0,0,793.7
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,992.9
C_few_shot_2,Configuration_Error,docker container prune --force,1,0,0,632.2
A_current,Configuration_Error,ulimit -n 65536,1,1,0,816.4
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,969.3
C_few_shot_2,Configuration_Error,service nginx restart,1,1,0,535.5
A_current,Configuration_Error,systemctl restart nginx,1,1,1,801.1
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,980.1
C_few_shot_2,Configuration_Error,sysctl -w kernel.max_workers=100000000000000,1,0,0,888.0
A_current,Configuration_Error,fuser -k /var/run/nginx.pid 0,1,0,0,935.9
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1203.4
C_few_shot_2,Configuration_Error,fuser -k 80/tcp/tcp,1,0,0,646.4
A_current,Configuration_Error,sysctl -w kernel.max_cpus=45000,1,0,0,1105.2
B_system_first,Configuration_Error,sysctl -w kernel.max_cpus=45,1,0,0,1249.4
C_few_shot_2,Configuration_Error,sysctl -w kernel.max_cpus=4096,1,0,0,910.7
A_current,Configuration_Error,docker build -t my-image .,1,0,0,977.7
B_system_first,Configuration_Error,docker build -t my-image .,1,0,0,1244.7
C_few_shot_2,Configuration_Error,docker stop $(docker ps -a -q) docker rm $(docker ps -a -q) docker network prune docker,1,0,0,901.6
A_current,Configuration_Error,ulimit -n 65536,1,1,0,819.9
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,928.6
C_few_shot_2,Configuration_Error,fuser -v /var/run/nginx.pid 9999,1,0,0,721.1
A_current,Configuration_Error,systemctl restart nginx,1,1,1,752.2
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1011.0
C_few_shot_2,Configuration_Error,sysctl -w kernel.max_vma_size=4096000000000,1,0,0,912.5
A_current,Configuration_Error,ufw reload,1,0,0,807.0
B_system_first,Configuration_Error,sysctl -w kernel.max_userland_stack=1048576,1,0,0,1303.7
C_few_shot_2,Configuration_Error,ufw disable,1,0,0,614.6
A_current,Configuration_Error,systemctl restart nginx,1,1,1,813.2
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1010.5
C_few_shot_2,Configuration_Error,service apache2 restart,1,1,0,648.6
A_current,Configuration_Error,sysctl -w vm.mincore=0,1,0,0,1038.8
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,923.7
C_few_shot_2,Configuration_Error,sysctl -w vm.max_map_count=262144,1,0,0,867.2
A_current,Configuration_Error,systemctl restart nginx,1,1,1,737.1
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,968.2
C_few_shot_2,Configuration_Error,service nginx restart,1,1,0,585.3
A_current,Configuration_Error,systemctl restart nginx,1,1,1,736.5
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,967.0
C_few_shot_2,Configuration_Error,docker stop $(docker ps -a -q) sudo docker rm $(docker ps -a -q) sudo docker,1,0,0,884.8
A_current,Configuration_Error,ulimit -n 65536,1,1,0,844.9
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,951.3
C_few_shot_2,Configuration_Error,ulimit -n 65536,1,1,0,752.9
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1048.5
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,957.7
C_few_shot_2,Configuration_Error,fuser -k 80/tcp/tcp,1,0,0,652.8
A_current,Configuration_Error,systemctl restart nginx,1,1,1,795.9
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,902.3
C_few_shot_2,Configuration_Error,docker container prune --force,1,0,0,545.8
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1065.1
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,941.6
C_few_shot_2,Configuration_Error,service nginx restart,1,1,0,787.4
A_current,Configuration_Error,systemctl restart nginx,1,1,1,801.1
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1001.2
C_few_shot_2,Configuration_Error,service nginx restart,1,1,0,616.6
A_current,Configuration_Error,systemctl restart nginx,1,1,1,767.9
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,991.9
C_few_shot_2,Configuration_Error,kill -HUP `cat /var/run/certbot.pid`,1,1,0,790.7
A_current,DB_Connection,ulimit -n 65536,1,1,0,1381.1
B_system_first,DB_Connection,ulimit -n 65536,1,1,0,1667.5
C_few_shot_2,DB_Connection,ERROR: empty,0,0,0,1330.9
A_current,DB_Connection,kill -9 $(pgrep -f nginx),1,1,0,883.7
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,897.7
C_few_shot_2,DB_Connection,"kill -9 $(pgrep -f ""while_loop"")",1,1,0,674.6
A_current,DB_Connection,ulimit -n 65536,1,1,0,989.1
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1232.5
C_few_shot_2,DB_Connection,service nginx restart,1,1,0,590.0
A_current,DB_Connection,systemctl restart nginx,1,1,1,1252.6
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1523.4
C_few_shot_2,DB_Connection,ERROR: empty,0,0,0,1364.9
A_current,DB_Connection,systemctl restart nginx,1,1,1,1020.7
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1321.3
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,835.4
A_current,DB_Connection,systemctl restart nginx,1,1,1,1419.4
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1603.4
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,1225.2
A_current,DB_Connection,fuser -k /usr/bin/nginx/tcp 80,1,0,0,821.4
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,929.3
C_few_shot_2,DB_Connection,fuser -k /usr/bin/python /proc/1943/1,1,0,0,715.6
A_current,DB_Connection,systemctl restart nginx,1,1,1,996.4
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1190.3
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,850.0
A_current,DB_Connection,systemctl restart nginx,1,1,1,1145.6
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1308.7
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,876.7
A_current,DB_Connection,systemctl restart nginx,1,1,1,1408.4
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1646.9
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,1405.1
A_current,DB_Connection,ulimit -n 65536,1,1,0,1312.2
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1341.3
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,918.8
A_current,DB_Connection,systemctl restart nginx,1,1,1,1167.4
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1143.0
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,811.0
A_current,DB_Connection,ulimit -n 65536,1,1,0,1260.6
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1326.9
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,972.0
A_current,DB_Connection,ulimit -n 65536,1,1,0,1116.5
B_system_first,DB_Connection,ulimit -n 65536,1,1,0,1260.6
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,814.6
A_current,DB_Connection,systemctl restart nginx,1,1,1,1245.0
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1482.4
C_few_shot_2,DB_Connection,systemctl restart nginx,1,1,1,1029.4
A_current,DB_Connection,systemctl restart nginx,1,1,1,1065.4
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,950.3
C_few_shot_2,DB_Connection,fuser -k 9999/tcp/tcp,1,0,0,888.3
A_current,DB_Connection,kill -9 $(sudo lsof -i :6379),1,1,0,1022.9
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1241.6
C_few_shot_2,DB_Connection,fuser -k 80/tcp/tcp://0.0.0.0:80,1,0,0,885.4
A_current,DB_Connection,ulimit -n 65536,1,1,0,812.4
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,889.3
C_few_shot_2,DB_Connection,kill -9 $(lsof -i :3306),1,1,0,737.0
A_current,DB_Connection,service nginx restart,1,1,0,732.7
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,941.2
C_few_shot_2,DB_Connection,"kill -9 $(pgrep -f ""sidekiq"")",1,1,0,724.6
A_current,DB_Connection,systemctl restart nginx,1,1,1,717.3
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,955.3
C_few_shot_2,DB_Connection,kill -9 $(lsof -i :80),1,1,0,743.5
A_current,DB_Connection,kill -9 $(lsof -i :6379),1,1,0,955.9
B_system_first,DB_Connection,service nginx restart,1,1,0,961.8
C_few_shot_2,DB_Connection,ulimit -n 65536,1,1,0,670.3
A_current,DB_Connection,ulimit -n 65536,1,1,0,824.4
B_system_first,DB_Connection,sysctl -w kernel.max_parallel_forks=1000000000,1,0,0,1243.2
C_few_shot_2,DB_Connection,kill -9 $(lsof -i :3306),1,1,0,764.9
A_current,DB_Connection,ulimit -n 65536,1,1,0,853.1
B_system_first,DB_Connection,service nginx restart,1,1,0,944.6
C_few_shot_2,DB_Connection,ulimit -n 65536,1,1,0,878.4
A_current,DB_Connection,ulimit -n 65536,1,1,0,845.7
B_system_first,DB_Connection,service nginx restart,1,1,0,975.8
C_few_shot_2,DB_Connection,kill -9 $(pgrep -f 'java' | awk '{print $2}'),1,1,0,822.4
A_current,DB_Connection,ulimit -n 65536,1,1,0,858.5
B_system_first,DB_Connection,sysctl -w vm.mincore=8192,1,0,0,1157.1
C_few_shot_2,DB_Connection,ulimit -n 65000,1,1,0,686.0
A_current,DB_Connection,ulimit -n 65536,1,1,0,848.6
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,954.6
C_few_shot_2,DB_Connection,fuser -k 80/tcp/tcp,1,0,0,894.7
A_current,DB_Connection,ulimit -n 65536,1,1,0,898.5
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,894.7
C_few_shot_2,DB_Connection,ulimit -n 65536,1,1,0,850.5
A_current,DB_Connection,ulimit -n 65536,1,1,0,969.6
B_system_first,DB_Connection,service nginx restart,1,1,0,985.7
C_few_shot_2,DB_Connection,fuser -k /usr/bin/cassandra /proc/10.0.0.5/tcp,1,0,0,892.1
A_current,DB_Connection,ulimit -n 65536,1,1,0,929.6
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1246.5
C_few_shot_2,DB_Connection,kill -HUP 89012,1,1,0,756.8
A_current,DB_Connection,ulimit -n 65536,1,1,0,878.5
B_system_first,DB_Connection,service nginx restart,1,1,0,992.6
C_few_shot_2,DB_Connection,"kill -9 $(pgrep -f ""postgres-pool"")",1,1,0,773.0
A_current,DB_Connection,systemctl restart nginx,1,1,1,734.8
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,963.0
C_few_shot_2,DB_Connection,kill -9 $(lsof -i :8080),1,1,0,771.1
A_current,DB_Connection,ulimit -n 65536,1,1,0,833.7
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,952.8
C_few_shot_2,DB_Connection,kill -9 $(lsof -i :54556),1,1,0,751.9
A_current,DB_Connection,ulimit -n 65536,1,1,0,827.2
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,942.6
C_few_shot_2,DB_Connection,"kill -9 $(sudo docker ps -a | grep ""mongodb"" | awk '{print $1}')",1,1,0,849.2
A_current,DB_Connection,sysctl -w vm.min_switch_entropy=30000000000000,1,0,0,1035.3
B_system_first,DB_Connection,sysctl -w kernel.max_user processes=20000000000000,1,0,0,1228.4
C_few_shot_2,DB_Connection,sysctl -w kernel.max_user processes 20000000000000,1,0,0,885.5
A_current,DB_Connection,sysctl -w vm.max_map_count=65536,1,0,0,923.0
B_system_first,DB_Connection,sysctl -w kernel.max_user processes=20480000000000,1,0,0,1288.5
C_few_shot_2,DB_Connection,sysctl -w vm.mincore=256,1,0,0,744.1
A_current,DB_Connection,systemctl restart nginx,1,1,1,786.1
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1309.2
C_few_shot_2,DB_Connection,kill -HUP `cat /proc/8379/sched`,1,1,0,859.7
A_current,DB_Connection,ulimit -n 65536,1,1,0,858.3
B_system_first,DB_Connection,sysctl -w kernel.max_open_files=65536 sudo sysctl -w net.inet.ip,1,0,0,1248.4
C_few_shot_2,DB_Connection,"kill -9 $(pgrep -f ""php"" | awk '{print $2}')",1,1,0,801.4
A_current,DB_Connection,systemctl restart nginx,1,1,1,718.9
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,926.5
C_few_shot_2,DB_Connection,service nginx restart,1,1,0,552.1
A_current,DB_Connection,ulimit -n 65536,1,1,0,938.7
B_system_first,DB_Connection,sysctl -w kernel.max_vma_size=268435456,1,0,0,1350.7
C_few_shot_2,DB_Connection,ulimit -n 65536,1,1,0,759.7
A_current,DB_Connection,ulimit -n 65536,1,1,0,924.2
B_system_first,DB_Connection,fuser -k /var/run/nginx.pid/tcp,1,0,0,1074.4
C_few_shot_2,DB_Connection,fuser -k /var/run/docker.sock/tcp/80 > /dev/null 2>&1,1,0,0,864.7
A_current,Disk_Full,docker build -t my-image .,1,0,0,1297.1
B_system_first,Disk_Full,docker stop $(docker ps -a -f status=exited -f name=nginx),1,0,0,1506.7
C_few_shot_2,Disk_Full,ERROR: empty,0,0,0,1155.2
A_current,Disk_Full,docker-compose up -d,1,0,0,1017.8
B_system_first,Disk_Full,docker-compose up -f ./docker-compose.yml,1,0,0,1381.2
C_few_shot_2,Disk_Full,docker-compose up -f docker-compose.yml,1,0,0,931.4
A_current,Disk_Full,fuser -k /var/run/nginx.pid 0,1,0,0,954.8
B_system_first,Disk_Full,fuser -k /usr/bin/nginx/tcp 80,1,0,0,1219.6
C_few_shot_2,Disk_Full,fuser -k /usr/bin/nginx/tcp 22,1,0,0,684.3
A_current,Disk_Full,fstrim -f /dev/sdc,1,0,0,845.8
B_system_first,Disk_Full,fuser -k /dev/sdc 9999,1,0,0,1096.6
C_few_shot_2,Disk_Full,fstrim -v /dev/sdc,1,0,0,714.5
A_current,Disk_Full,fuser -k /var/log/app.log/tcp 0,1,0,0,833.7
B_system_first,Disk_Full,fusermount -u /var/log/app.log,1,0,0,1016.9
C_few_shot_2,Disk_Full,fuser -k /var/log/app.log/tcp 12345,1,0,0,757.2
A_current,Disk_Full,fallocate -l 65536 /tmp/snapshot,1,0,0,996.6
B_system_first,Disk_Full,fuser -k /var/run/docker.sock/tcp/80 sudo fuser -k /var/run/docker.sock,1,0,0,1228.9
C_few_shot_2,Disk_Full,fallocate -l +1G /mnt/backup && sudo mount /dev/sdX1 /mnt/,1,0,0,827.6
A_current,Disk_Full,fuser -k /var/lib/redis/dump.rdb/tcp 0,1,0,0,954.0
B_system_first,Disk_Full,fuser -k /var/lib/redis/dump.rdb/tcp 0,1,0,0,1159.6
C_few_shot_2,Disk_Full,fuser -k 9999/tcp/tcp,1,0,0,884.1
A_current,Disk_Full,fuser -k /var/lib/docker /var/lib/docker.sock,1,0,0,888.9
B_system_first,Disk_Full,fuser -k 80 nginx/tcp,1,0,0,1019.1
C_few_shot_2,Disk_Full,fuser -k 80/tcp/tcp,1,0,0,875.0
A_current,Disk_Full,fallocate -l 65536 /tmp/elasticsearch.data,1,0,0,983.3
B_system_first,Disk_Full,fuser -k /var/lib/elasticsearch/segments /proc/1982/fd/4,1,0,0,1210.5
C_few_shot_2,Disk_Full,fallocate -l +1G /path/to/elasticsearch/data && sudo mount /dev/sdXn /,1,0,0,855.6
A_current,Disk_Full,fuser -k /var/run/docker.sock/tcp/80,1,0,0,990.3
B_system_first,Disk_Full,systemctl restart nginx,1,1,0,1256.1
C_few_shot_2,Disk_Full,fuser -k /var/run/docker.sock/tcp/80,1,0,0,727.2
A_current,Disk_Full,fuser -k /var/run/docker.sock/tcp/80,1,0,0,1001.9
B_system_first,Disk_Full,fuser -k /var/run/nginx.pid/tcp,1,0,0,1043.6
C_few_shot_2,Disk_Full,fuser -k 80/tcp/tcp,1,0,0,871.9
A_current,Disk_Full,fuser -k /opt/airflow/logs /opt/airflow/logs,1,0,0,1014.7
B_system_first,Disk_Full,fallocate -l 65536 /tmp/logfile,1,0,0,1334.9
C_few_shot_2,Disk_Full,fallocate -l +10G /dev/sda1,1,0,0,989.8
A_current,Disk_Full,fuser -k /var/run/nginx.pid/tcp,1,0,0,863.3
B_system_first,Disk_Full,fuser -k /usr/bin/nginx/tcp,1,0,0,1302.5
C_few_shot_2,Disk_Full,fuser -k /usr/bin/python 9999,1,0,0,740.4
A_current,Disk_Full,fuser -k /var/log/nginx/tcp 0,1,0,0,884.6
B_system_first,Disk_Full,fuser -k /var/log/nginx/tcp 80,1,0,0,1082.7
C_few_shot_2,Disk_Full,fuser -k 9370/tcp/tcp,1,0,0,714.0
A_current,Disk_Full,fuser -k /var/lib/mysql/tcp 9305,1,0,0,955.0
B_system_first,Disk_Full,fuser -k /var/lib/mysql /var/lib/mysql,1,0,0,1222.2
C_few_shot_2,Disk_Full,fuser -k -n tcp 3306/tcp,1,0,0,793.3
A_current,Disk_Full,fallocate -l +1G /path/to/newfile && sudo chmod 600 /path/to/new,1,0,0,1061.0
B_system_first,Disk_Full,fallocate -l +1G /path/to/newfile && sudo chmod 777 /path/to/new,1,0,0,1273.0
C_few_shot_2,Disk_Full,fallocate -l +1G /dev/sda1,1,0,0,864.7
A_current,Disk_Full,fuser -k 9345/tcp,1,0,0,1100.0
B_system_first,Disk_Full,fuser -k /var/kafka-logs/tcp 80,1,0,0,1136.1
C_few_shot_2,Disk_Full,fallocate -l 8G /mnt/backup && sudo mount /dev/sdX1 /mnt/,1,0,0,919.7
A_current,Disk_Full,fstrim -f /var/log/journal,1,0,0,824.7
B_system_first,Disk_Full,fuser -k /var/run/nginx.pid/tcp,1,0,0,1041.6
C_few_shot_2,Disk_Full,fstrim -v /var/log/journal,1,0,0,670.1
A_current,Disk_Full,fuser -k /var/run/nginx.pid/tcp,1,0,0,908.4
B_system_first,Disk_Full,systemctl restart nginx,1,1,0,1011.5
